"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000279457",29.9135794276176,0.179257083672692,0.324821565250145,0.551863246932656,0.581042050747027,0.686554777832894,NA,NA
"ENSG00000187634",183.229649921658,0.426457118403307,0.140265820376896,3.04034951107412,0.00236303749731067,0.00515718149494516,"SAMD11","148398"
"ENSG00000188976",1651.18807619944,-0.692720464846367,0.0548465415913881,-12.6301576133496,1.43989540153787e-36,1.76548905389893e-35,"NOC2L","26155"
"ENSG00000187961",209.637938486147,0.729755610585224,0.131859899969346,5.53432552849556,3.12428248077798e-08,1.1341299310765e-07,"KLHL17","339451"
"ENSG00000187583",47.2551232589398,0.0405765278756313,0.271892808601774,0.149237223611388,0.881366448669147,0.91903061557138,"PLEKHN1","84069"
"ENSG00000187642",11.9797501642461,0.542810491577363,0.521559849534147,1.04074439790984,0.297994191720983,0.403379309754075,"PERM1","84808"
"ENSG00000188290",108.922127976716,2.0570638345631,0.196905312993842,10.4469696794187,1.51281875407864e-25,1.30538189681563e-24,"HES4","57801"
"ENSG00000187608",350.71686801731,0.257383686481773,0.102726560033539,2.50552229528314,0.0122270689409825,0.0237452288907894,"ISG15","9636"
"ENSG00000188157",9128.439421961,0.389908792022773,0.0467163395511338,8.34630443586006,7.04321148754155e-17,4.21962808550355e-16,"AGRN","375790"
"ENSG00000237330",0.158192358990472,0.785955208142751,4.0804728567969,0.192613757210411,0.847261469988086,NA,"RNF223","401934"
"ENSG00000131591",156.479083393338,0.196592348543654,0.145610917129243,1.35012094161292,0.176977192005111,0.261745093404047,"C1orf159","54991"
"ENSG00000186891",0.732334495547826,-0.31184303389228,2.29432959164862,-0.135919021847336,0.891885297764806,0.926394074174199,"TNFRSF18","8784"
"ENSG00000186827",0.774563363005392,1.72578824180931,2.02722232987901,0.851306843049776,0.394598924610235,0.508934886751172,"TNFRSF4","7293"
"ENSG00000078808",4600.33028600984,0.386628861206273,0.0483324364781455,7.99936625129784,1.25061211582652e-15,7.08904667809665e-15,"SDF4","51150"
"ENSG00000176022",903.070312267806,0.4250793427473,0.0745779843229849,5.69979661700632,1.19950446645168e-08,4.50173079362486e-08,"B3GALT6","126792"
"ENSG00000184163",4.52322235705183,0.328034737205598,0.844006620099538,0.388663701674415,0.697524937134859,0.783293353056158,"C1QTNF12","388581"
"ENSG00000160087",1226.36024604796,0.430326257302023,0.063310939229494,6.79702848416363,1.06798988681032e-11,4.92954430059832e-11,"UBE2J2","118424"
"ENSG00000162572",31.7776688322821,0.810145939917117,0.320430204352817,2.52830703507928,0.0114614071029096,0.0223910681180649,"SCNN1D","6339"
"ENSG00000131584",1067.09073092054,0.582146204655297,0.0670714173686712,8.67949757875872,3.97520932176024e-18,2.52855567475625e-17,"ACAP3","116983"
"ENSG00000169972",227.376248317606,0.0839217292579029,0.121698882258045,0.689585045489231,0.490455174370892,0.602963660316834,"PUSL1","126789"
"ENSG00000127054",922.15171909075,-0.20949687476682,0.0727879689671059,-2.8781799758899,0.00399976875646748,0.00843086269062037,"INTS11","54973"
"ENSG00000224051",299.70151191683,-0.216411081372187,0.108761452223982,-1.98977741605098,0.0466154602905458,0.0804283134818618,"CPTP","80772"
"ENSG00000169962",5.84091826930333,0.0582910464706811,0.73567720217821,0.0792345424026891,0.936846070086016,0.957107817893228,"TAS1R3","83756"
"ENSG00000107404",996.838159268406,-0.144513678508733,0.0649756414671932,-2.22412084352717,0.0261403148786268,0.0475302321459949,"DVL1","1855"
"ENSG00000162576",5438.1255159644,0.516215483131602,0.0418318418467917,12.34025231359,5.49833078392064e-35,6.4517833673107e-34,"MXRA8","54587"
"ENSG00000175756",1068.65776669111,0.097479333311668,0.0657020202953107,1.48365808042931,0.137899652570401,0.211001357930084,"AURKAIP1","54998"
"ENSG00000221978",1362.3522672541,0.487093287454537,0.0609097051687583,7.9969733247761,1.27514850259661e-15,7.22535126154126e-15,"CCNL2","81669"
"ENSG00000242485",665.629405355783,-0.119697711313021,0.0763055945682514,-1.56866232404437,0.116726641897775,0.181909405550324,"MRPL20","55052"
"ENSG00000235098",1.24671988581422,-0.0591200275867557,1.57049165078444,-0.0376442800935784,0.969971302515186,0.978804317457639,"ANKRD65","441869"
"ENSG00000179403",108.929842536121,0.165405859799456,0.17599276170981,0.939844674249669,0.347297239686092,0.458890686614096,"VWA1","64856"
"ENSG00000215915",0.543603841878244,0.784681074991809,2.4204205796542,0.324192035709726,0.745792651342109,0.820915389229175,"ATAD3C","219293"
"ENSG00000160072",423.792449298593,-0.791803457110144,0.0978592141321801,-8.09125092748692,5.90550517273619e-16,3.40380661852898e-15,"ATAD3B","83858"
"ENSG00000197785",708.708441641375,-0.664367837986059,0.0811918784372559,-8.18268835225279,2.77580386150907e-16,1.62276070253553e-15,"ATAD3A","55210"
"ENSG00000205090",40.4750829217052,0.497894327131637,0.293990305983405,1.69357396144804,0.0903462694529701,0.14518845482476,"TMEM240","339453"
"ENSG00000160075",1860.23851801681,0.0489569115056431,0.0522188415930379,0.937533465165384,0.348484217989342,0.459990070258205,"SSU72","29101"
"ENSG00000228594",176.877295844935,0.336425158973395,0.14097655320965,2.38639086652295,0.0170146565168337,0.0321448542167792,"FNDC10","643988"
"ENSG00000197530",749.024212554717,0.419464859464611,0.0731092057622756,5.73751082495079,9.60781407179221e-09,3.6242632144887e-08,"MIB2","142678"
"ENSG00000189409",2.55268355396294,-0.0385517087772028,1.09981214357724,-0.0350529942793773,0.972037483486969,0.980419410869898,"MMP23B","8510"
"ENSG00000248333",477.512838582641,0.0727145569938453,0.0874014035426857,0.831960975985156,0.405430971972821,0.520099234211615,"CDK11B","984"
